Hackett Group,218.06K,427.98M,282.48M,20.11,0.72
HAFC,237.07K,319.43M,136.45M,9.9,1.34
Hain Celestial,1.10M,2.69B,2.15B,,0.79
Hallador Energy,165.83K,28.25M,320.51M,,0.52
Hallmark Fin.,111.89K,69.41M,357.30M,2.35,1.44
Halozyme Therap,1.82M,2.56B,195.99M,,1.62
Hancock Whitney,863.18K,1.80B,735.27M,5.77,1.73
Harmonic Inc,880.68K,597.41M,402.87M,,0.88
Harvard Biosci,155.16K,102.77M,116.17M,,1.52
Hawaiian Hldg,1.38M,527.03M,2.83B,2.42,2.22
Hawkins,33.19K,368.13M,540.84M,13.13,0.7
Hawthorn Bancshar,11.10K,120.30M,36.67M,7.42,0.46
Haynes International,105.05K,257.91M,598.66M,17.03,1.48
Healthcare Ser,876.36K,1.71B,1.84B,26.11,0.57
HealthStream,188.14K,824.37M,254.12M,58.06,0.61
Heartland Exp.,375.24K,1.57B,596.82M,21.62,0.55
Heartland Fin.,156.94K,1.14B,324.03M,7.59,1.25
Heidri.&Strug.,137.30K,421.75M,725.61M,9.54,1.2
Helen of Troy Ltd,204.48K,3.50B,1.65B,17.57,0.76
Heritage Fin.,181.18K,717.26M,126.29M,11.04,0.79
HeritageCrystal,44.73K,434.63M,444.42M,46.92,1.73
Heska Corp,86.56K,514.28M,122.67M,,1.64
Hibbett Sports,540.47K,212.87M,1.53B,8.21,1.25
Highway Holdings,9.87K,7.15M,13.41M,,0.31
Himax Tech,1.78M,549.27M,671.83M,,0.79
Hingham Instit,6.13K,313.02M,49.64M,8.23,0.99
HMN Financial,4.52K,86.29M,20.61M,10.59,0.33
HMS Holdings,815.34K,2.37B,626.38M,27.2,0.92
Hollysys Automation Tech,213.60K,811.80M,575.50M,6.97,1.4
Home Bancorp,28.45K,237.53M,59.18M,8.72,0.78
Home BancShares,981.91K,2.11B,409.99M,7.46,1.41
Home Federal Bancorp,1.48K,39.78M,12.21M,9.96,0.8
Hooker Furnitur,77.27K,192.26M,610.83M,7.79,0.86
Hope Bancorp,994.73K,1.07B,364.16M,6.43,1.67
Horizon Bancorp,127.37K,450.64M,132.55M,7.09,1.34
Horizon Pharma,1.85M,6.00B,1.30B,15.04,0.94
Horizon Tech,289.90K,162.78M,42.16M,6.83,1.08
Houston W&C,70.32K,36.59M,338.29M,14.47,1.66
Huazhu,2.54M,8.38B,246.64M,34.46,1.56
Hub Group,289.41K,1.69B,3.67B,14.85,1.22
Hudson Global Inc,4.61K,26.69M,93.81M,,0.38
Hudson Tech,232.22K,35.20M,162.05M,,1.16
Hurco Companies,34.05K,192.53M,232.82M,19.28,0.69
Huron Consult,150.19K,1.13B,965.48M,26.01,0.5
I.D. Systems,139.15K,136.02M,81.91M,,1.98
IAC Interactivecorp,1.20M,17.46B,4.76B,41.75,1.03
IBERIABANK Corp,627.71K,1.97B,770.98M,5.68,1.76
iCAD Inc,331.84K,201.09M,31.34M,,0.91
Icahn Enterprises,160.84K,10.60B,8.46B,,1.37
ICF Intl,147.09K,1.29B,1.48B,18.71,0.6
ICON PLC,328.05K,8.31B,2.81B,21.92,0.8
ICU Medical,172.05K,4.30B,1.27B,42.9,0.57
Identive Group,52.64K,51.32M,83.76M,,1.39
Idera Pharma,207.11K,53.56M,1.45M,,1.97
IES Holdings,46.11K,419.19M,1.11B,11.69,0.9
IF Bancorp,2.66K,54.67M,16.10M,14.19,0.72
II-VI Inc,1.85M,2.57B,1.71B,,1.03
Ikonics Corp,5.18K,6.61M,17.62M,,0.77
Image Sensing Sys,7.99K,20.65M,14.73M,2.83,1.01
Immersion Corp,272.87K,183.75M,35.94M,,1.37
ImmuCell Corp,90.29K,29.79M,13.72M,,1.39
ImmunoGen,3.56M,645.86M,82.26M,,2.3
Immunomedics,3.54M,4.54B,290.00K,,2.56
Indepen. Bank,219.89K,2.40B,298.44M,13.75,1
Independent Bank Corp,149.73K,292.07M,102.60M,6.97,0.96
Infinity Pharma,206.67K,52.84M,3.05M,,1.81
Information Services,118.61K,114.24M,265.76M,36.32,0.4
Ingles Markets,116.67K,753.87M,4.22B,10.14,0.59
InnerWorkings,158.62K,74.56M,1.16B,,2
Innodata Isogen,17.23K,22.12M,55.86M,,0.88
Innospec Inc,135.04K,1.81B,1.51B,16.06,1.32
Innovative Soluti,33.61K,53.16M,18.10M,25.65,0.58
Inseego,3.38M,1.09B,219.50M,,1.41
Insight Enterp,431.20K,1.69B,7.73B,10.73,1.43
Insignia Systems,14.89K,8.35M,21.95M,,0.43
Insmed,1.46M,1.67B,136.46M,,2.61
Insteel Industries,131.33K,303.36M,449.17M,147.91,1.84
Insulet Corp,674.50K,11.64B,738.21M,969.57,0.85
Integra LifeSci,768.76K,4.08B,1.52B,83.27,1.12
Inter Parfums,109.76K,1.50B,713.51M,23.9,1.05
Interactive Broke,780.72K,3.48B,2.60B,21.22,0.74
InterDigital,272.57K,1.49B,318.92M,68.43,0.94
Interface,421.66K,539.85M,1.34B,6.79,1.89
Interpace Diagnostics,68.33K,18.37M,20.00M,,1.74
Intevac,76.84K,114.74M,108.88M,125.14,0.6
Intl Ban,334.29K,1.73B,325.76M,8.57,1.33
INTL FCStone,94.62K,746.00M,37.59B,8.73,1.39
IntriCon Corp,76.42K,109.46M,113.49M,,0.96
Investors BCorp,3.15M,2.03B,560.17M,10.9,1.11
Investors Title,10.51K,233.05M,173.20M,7.14,0.64
Ionis Pharma,1.04M,7.35B,1.12B,24.85,1.72
IPG 포토닉스,529.25K,6.42B,1.31B,34.92,1.7
IRIDEX Corp,48.38K,24.20M,43.45M,,1.19
Iridium Comm,992.69K,3.10B,560.44M,,1.65
iRobot Corp,1.40M,1.35B,1.21B,15.69,1.34
Ironwood Pharma,1.91M,1.67B,428.42M,26.2,1.65
IRSA Propiedades ADR,4.56K,346.82M,258.77M,,1.25
Itron Inc,324.76K,2.53B,2.50B,48.76,1.27
Ituran,88.48K,405.19M,213.84M,10.73,1.31
J & J Snack Foods,143.82K,2.47B,1.20B,24.57,0.59
J. W. Mays,1.30K,40.86M,20.42M,29.8,-0.03
J.B. Hunt Transport Services Inc,988.10K,10.40B,9.36B,19.91,0.95
j2 Global,570.38K,3.70B,1.67B,16.75,0.73
Jack In The Box,928.59K,1.00B,967.00M,16.28,1.1
JAKKS Pacific,210.59K,20.14M,446.14M,,2.26
Janone,192.26K,5.32M,23.68M,,1.22
Jazz Pharma,690.77K,6.23B,2.16B,11.97,1.28
Jewett-Cameron Trading,1.66K,23.39M,43.44M,15.5,0.94
John B Sanfilip,98.59K,958.67M,882.86M,18.31,0.37
Johnson Outdrs,44.39K,610.15M,586.03M,11.3,0.82
Kaiser Aluminum,153.07K,1.19B,1.51B,19.08,1.21
Kandi Technolgies,313.19K,200.79M,73.91M,,2.54
Kazia Therapeutics ADR,27.28K,19.80M,,,1.98
Kearny Financial,450.23K,730.01M,125.59M,17.5,0.7
Kelly Services,286.21K,553.91M,5.36B,5.14,1.06
Kelly Services (B),0.43K,443.58M,5.36B,5.14,1.06
Kentucky First Fe,3.95K,50.81M,6.74M,51.2,0.63
Kewaunee Scientif,8.75K,22.00M,148.04M,,0.07
Key Tronic Corp,29.28K,42.50M,435.53M,,1.28
Kforce,170.71K,627.68M,1.35B,12.42,1.33
Kimball International,133.88K,432.80M,766.55M,11.07,1.18
Kingold Jewelry I,66.64K,12.73M,1.43B,2.84,0.34
Kingstone Compani,34.68K,55.15M,145.57M,,0.86
KLA,1.84M,25.35B,5.28B,21.3,1.37
Kopin Corp,317.52K,32.27M,29.52M,,0.85
Koss Corp,10.35K,6.98M,20.22M,,0.84
Kratos Defense,1.26M,1.55B,717.50M,141.21,1.17
Kulicke and Soffa,462.72K,1.50B,527.15M,57.34,1.29
KVH Industries,52.84K,162.73M,193.93M,,0.74
Lake Shore Bancor,3.74K,72.90M,14.01M,18.04,0.64
Lakeland,195.80K,543.53M,143.15M,7.96,1.09
Lakeland Fin.,144.41K,1.05B,128.97M,12.68,1.03
Lancaster Col.,185.62K,3.71B,1.33B,24.08,0.23
Landec Corp,173.28K,289.49M,586.52M,,0.83
Landmark Bancorp,5.89K,94.11M,27.50M,9.09,0.57
Landstar System,403.01K,3.93B,4.09B,17.58,1.01
Lantronix,119.21K,74.34M,48.46M,,1.63
Lattice Semicon,2.37M,2.72B,404.10M,60.36,1.13
Lawson Products,25.52K,265.30M,370.79M,38.72,1.37
LB Foster,39.01K,145.80M,655.06M,3.58,1.74
LCNB Corp,23.67K,172.45M,39.32M,9.44,0.79
Lexicon Pharma,972.03K,237.47M,322.08M,2.18,1.39
LHC Group,330.93K,4.24B,2.08B,45.52,0.56
Lianluo Smart,3.44M,13.46M,,,1.1
Liberty Global B,0.84K,11.70B,11.54B,,1.2
Liberty Global C,3.75M,11.00B,11.54B,,1.2
Liberty Media Formula A,212.67K,5.50B,2.02B,,1.06
Lifetime Brands,24.26K,117.75M,734.91M,,0.98
Lifeway Foods,22.35K,28.12M,70.49M,,0.96
Ligand Pharma,552.37K,1.50B,120.28M,3.07,1.49
Lightbridge Corp,25.04K,7.86M,,,2.33
LightPath Technol,439.94K,39.82M,33.81M,,-0.2
Limelight Ntwrk,1.60M,770.58M,200.63M,,1.31
Limoneira Co,60.56K,246.79M,171.04M,,1.13
Lincoln Edu,15.16K,63.11M,273.34M,29.39,0.69
Liquid Media,124.03K,15.35M,5.72K,,0.63
Liquidity Ser,131.96K,161.79M,221.97M,,1
Littelfuse,152.70K,3.34B,1.50B,23.97,1.13
Live Ventures,8.09K,10.63M,140.09M,,1.02
Liveperson,1.33M,1.44B,291.60M,,1.11
LogMeIn,966.88K,4.12B,1.26B,,0.86
Loop Industries,61.10K,315.82M,,,0.62
Loral,115.33K,527.87M,,5.6,1.28
LPL Financial,996.76K,4.44B,5.62B,8.34,1.55
LSI Industries,132.98K,114.48M,325.43M,28.59,1.7
Luminex Corp,465.75K,1.36B,417.04M,,0.48
Lumos Pharma Inc,51.54K,76.03M,940.00K,,1.43
Luna Innovations,288.45K,208.22M,70.54M,42.27,1.06
Luokung Tech,260.06K,121.27M,,,
M.G.R.C.,147.03K,1.30B,570.23M,13.39,0.92
Macatawa Bank Cor,91.35K,245.62M,47.81M,7.92,0.82
Mackinac Financial,21.05K,104.33M,35.53M,7.89,0.89
Magal Security Sy,20.60K,72.24M,86.84M,29.17,1.18
Magellan Health,190.45K,1.30B,7.16B,23.65,1
Magic Sftware,45.03K,420.78M,325.63M,20.79,0.88
Magyar Bancorp,2.82K,53.55M,14.62M,18.7,0.46
Maiden Holdings,208.19K,86.49M,576.30M,,0.64
MakeMyTrip Ltd,543.11K,1.37B,379.88M,,0.99
Malvern Federal Bancorp,15.91K,90.58M,25.50M,9.59,0.87
Manhattan Ass,721.27K,3.79B,617.95M,42.55,1.72
Manhattan Bridge,48.61K,37.88M,7.27M,8.09,0.64
Manitex International,25.20K,83.20M,224.78M,,1.39
Mannatech,3.86K,24.63M,157.73M,7.54,1.07
MannKind Corp,2.96M,267.49M,63.04M,,2.15
ManTech Intl,236.41K,3.22B,2.22B,27.48,0.85
Marchex,238.80K,70.63M,106.13M,,1.84
Marine Petroleum,8.27K,2.55M,730.00K,4.73,1.54
Marlin,36.39K,95.11M,122.63M,3.57,0.88
Marten Transp,244.27K,1.17B,843.27M,19.11,0.97
Martin Midstream,311.83K,43.23M,847.11M,5.09,1.81
Masimo Corp,493.98K,10.37B,937.83M,53.21,0.76
Matlin & Partners,793.71K,39.82M,654.52M,,
Matrix Service,260.71K,272.19M,1.41B,,1.39
Matthews Intern,190.72K,733.44M,1.53B,,1.34
MDC Partners,176.29K,83.72M,1.42B,,0.6
MediciNova,166.04K,275.16M,,,2.03
MER Telemanagemen,25.23K,3.61M,6.43M,,1.38
Mercantile Bank,55.34K,357.65M,93.87M,7.53,1.15
Mercer Int,310.85K,550.75M,1.62B,,1.66
Mercury Systems,450.74K,4.33B,722.81M,63.67,0.88
Meridian Inters,223.37K,576.79M,141.89M,8.62,0.94
Merit Medical,617.30K,1.96B,994.85M,358.25,0.89
Mesa Lab,44.05K,978.94M,109.94M,191.26,0.31
Meta Financial,383.37K,665.86M,231.91M,6.91,1.4
Methanex,748.48K,1.07B,3.28B,12.95,2.2
MGE Energy Inc,142.37K,2.50B,568.86M,27.44,0.55
MGP Ingredients,300.49K,592.20M,362.75M,15.03,1.6
MicroStrategy,76.16K,1.28B,486.33M,36.62,0.62
Microvision,2.73M,41.40M,8.89M,,1.77
Mid Penn Bancorp,11.35K,152.91M,56.14M,8.89,0.56
Mid-Con Energy Pa,919.37K,4.69M,55.51M,,1.34
Middleby Corp,935.78K,3.03B,2.96B,8.27,1.69
Middlesex Water,71.67K,1.10B,134.60M,31.02,0.28
MidWestOne,47.40K,325.83M,121.15M,7.08,1.16
MIND C.T.I. Ltd,64.01K,36.31M,22.66M,7.21,0.71
MISONIX,105.62K,199.12M,50.18M,,1.09
Mitcham Ind.,21.72K,11.05M,41.75M,,1.88
Mitek Systems,453.97K,326.39M,88.98M,108.72,0.05
MKS Instruments,490.10K,4.95B,1.90B,34.09,1.43
Mobile Mini,467.46K,1.15B,612.63M,13.31,1.5
Momenta Pharma,1.30M,3.47B,23.86M,,1.5
Monarch Casino,213.12K,514.49M,249.16M,16.37,1.37
Monolithic Pwr,411.28K,8.20B,627.92M,71.08,1.17
Monro Muffler,458.55K,1.64B,1.26B,20.89,1.01
Morningstar,92.87K,5.51B,1.18B,35.11,0.92
MoSys,35.88K,3.12M,10.09M,,1.95
Motorcar Parts of America,160.52K,247.87M,514.17M,,1.53
MSB Financial Corp,10.93K,62.48M,12.86M,15.17,0.66
MTS Systems,226.56K,416.33M,895.18M,11.74,1.71
MutualFirst Financial,13.27K,222.09M,56.64M,9.74,0.87
MYR Group,78.36K,416.76M,2.07B,11.07,0.65
Myriad Genetics,1.16M,1.16B,813.40M,,1.42
NAPCO Security Te,173.67K,322.89M,106.84M,22.25,1.16
Nasdaq Inc,1.21M,17.75B,4.26B,22.28,0.71
Nathans Famous,12.83K,237.84M,103.76M,18.78,0.21
National Instrume,751.10K,4.87B,1.35B,28.69,1.01
National Security,2.85K,36.14M,67.40M,9.6,-0.1
National Western Life Insurance,10.99K,731.89M,827.04M,5.5,1.19
Natural Alternati,9.64K,51.08M,124.01M,20.97,0.49
Natures Sunsh,20.31K,163.18M,362.20M,22.93,0.58
Natus Medical,229.25K,854.67M,495.18M,,0.97
NBI,13.32K,184.63M,27.17M,11.28,0.61
NBT Bancorp Inc,169.27K,1.43B,258.92M,12.03,0.75
NCM Inc,768.30K,212.56M,444.80M,5.94,1.08
Neogen Corp,250.19K,3.35B,418.85M,55.69,0.82
Neptune Wellness Solutions,1.18M,186.35M,565.40K,,
Net Element,50.32K,8.64M,65.01M,,1.63
NETGEAR,389.99K,726.04M,998.76M,29.99,1.22
NetScout Sys,589.91K,2.02B,897.46M,213.84,1.17
NetSol Tech,33.59K,29.27M,63.68M,8.12,0.6
Neurocrine,801.77K,8.92B,788.08M,290.98,1.32
NeuroMetrix,739.47K,4.36M,9.27M,,1.83
Newtek Business S,385.99K,336.87M,109.70M,7.48,1.44
Nexstar,819.22K,2.92B,3.04B,12.2,1.78
NIC Inc,441.51K,1.62B,354.21M,32.05,0.33
Nice ADR,324.47K,9.73B,1.57B,54.68,0.73
Nicholas Financial,11.59K,47.56M,63.60M,,0.74
NN Inc,563.42K,109.48M,847.46M,,2.94
Nordson Corp,312.56K,8.38B,2.19B,24.17,1.12
Nortech Systems I,6.10K,9.96M,116.33M,,1.29
Northeast Bancorp,37.22K,118.67M,43.28M,9.35,1.53
Northern Technolo,16.45K,73.78M,56.29M,21.15,1.5
Northfield Bancorp,160.08K,533.20M,94.42M,12.65,0.77
Northrim BCorp,24.79K,152.91M,56.14M,7.91,0.73
Northwest Bshre,698.37K,1.19B,264.67M,10.7,0.76
Northwest Pipe,74.32K,249.91M,279.32M,8.7,1.01
Norwood Financial,9.81K,159.91M,27.62M,11.45,0.6
Nova Measuring Instruments Ltd,134.03K,1.01B,224.91M,29.22,1.07
Novanta,141.12K,2.83B,626.11M,68.71,1.25
Ntnl Beverage,344.00K,2.44B,977.90M,19.45,1.09
Nuance Communications,4.17M,5.09B,1.75B,33.3,0.86
NuVasive,1.09M,2.94B,1.17B,45.34,1.4
NVE Corp,23.93K,247.19M,24.84M,18.36,1.39
NXP세미컨덕터즈,3.76M,25.82B,8.88B,104.29,1.47
NY Mortgage,14.28M,815.33M,789.13M,3.47,1.92
Nymox Pharmaceutical,204.93K,166.25M,120.00K,,1.57
O2Micro International,37.56K,33.18M,60.92M,,0.68
Oak Valley Bancorp,10.13K,118.23M,24.08M,9.98,0.57
Ocean Bio-Chem,311.45K,48.66M,42.25M,14.07,0.47
Ocean Power Tech,273.41K,4.21M,860.00K,,2.64
OceanFirst Fin.,258.53K,934.03M,176.74M,9.05,1.01
Oconee Federal,2.70K,98.53M,10.47M,24.79,0.47
Odyssey Marine,21.72K,32.60M,3.06M,,2.43
Office Depot,6.79M,978.81M,10.65B,9.89,2.16
Ohio Valley Banc,4.93K,127.63M,30.10M,12.81,0.22
Old Point Financial,8.78K,82.43M,27.32M,10.49,1.02
Old Second Bancorp,155.31K,235.35M,78.28M,6.15,1.53
Omega Flex,10.84K,863.57M,111.36M,48.35,0.71
Omeros Corp,830.08K,794.65M,111.81M,,1.86
Omnicell,295.56K,2.94B,897.03M,48.39,1.08
ON Semiconductor,10.33M,5.97B,5.52B,28.19,2.25
Oncolytics Biotec,926.36K,53.70M,,,2.56
Open Text,639.86K,10.14B,2.93B,29.86,0.69
Optibase,6.56K,57.65M,16.15M,,0.24
Optical Cable Cor,5.84K,17.37M,67.47M,,0.96
OptimumBank Holdings,2.77K,6.75M,2.80M,,1.1
Option Care Health,336.76K,1.93B,2.49B,,0.88
OraSure Tech,813.90K,728.82M,154.61M,43.25,0.07
ORBCOMM Inc,891.87K,208.40M,272.00M,,1.19
Orrstown Financial,23.92K,146.16M,64.50M,8.3,0.87
Orthofix,170.48K,600.69M,459.95M,,0.86
OSI Systems,187.54K,1.33B,1.21B,17.05,0.88
Ossen Innovation,10.42K,12.70M,65.08M,1.13,1.23
Otter Tail Corp,129.43K,1.89B,919.50M,21.23,0.43
Overstock.com,1.82M,453.41M,1.46B,,2.47
P & F Industries,2.20K,13.55M,58.68M,2.88,0.52
Pacific Biosci,2.44M,438.73M,90.89M,,1.72
Pacific Ethanol,1.14M,17.27M,1.42B,,2.16
Pacific Merc,47.42K,82.86M,35.76M,17.67,0.8
Pacira Pharma,691.89K,1.56B,421.02M,,1.18
PacWest Bancorp,1.47M,2.20B,661.41M,5.14,1.8
Pan American Silver,4.26M,4.06B,1.58B,36.41,1.05
Parametric Tech,1.14M,7.45B,1.28B,,1.17
Park-Ohio,56.49K,217.86M,1.62B,5.2,1.92
Parke Bancorp,34.77K,158.78M,43.51M,4.89,0.86
Pathfinder Bancorp,3.53K,45.46M,24.59M,12.8,-0.02
Patrick Ind.,257.38K,770.16M,2.34B,8.32,2.19
Patriot National Bancorp,2.05K,23.16M,23.43M,,0.96
Patterson UTI Energy Inc,6.02M,432.34M,2.47B,,2.3
PC Connection,138.60K,1.08B,2.82B,13.64,0.97
PC-Tel,119.40K,105.03M,90.62M,30.29,0.09
PDF Solutions,144.00K,462.22M,85.58M,,1.42
PDL Biopharma,1.42M,383.16M,115.30M,,0.75
Peapack-Gladst.,85.25K,323.66M,121.46M,7.3,1.22
Pegasystems Inc,455.08K,6.22B,911.38M,,1.19
Peoples Bancorp,13.07K,118.88M,34.28M,8.49,0.89
Performance Shipping,289.36K,34.25M,26.85M,,1.32
Perion Network,438.04K,137.28M,,10.52,1.09
Perma-Fix Environ,43.22K,71.77M,73.47M,23.49,1.24
Perma-Pipe Int,14.51K,51.09M,130.36M,15.29,0.5
PetMed Express,606.64K,634.84M,274.40M,23.86,0.4
PFSweb,30.45K,65.60M,294.02M,,1.21
Photronics,689.87K,729.34M,585.69M,20.49,0.75
PICO Holdings,86.77K,157.68M,29.39M,13.87,1.03
Pingtan Marine Enterprise Ltd,46.45K,75.89M,89.61M,13.63,0.34
Pinnacle Fin.,645.35K,3.09B,686.28M,8.03,1.55
Plexus Corp,196.02K,1.80B,3.25B,15.24,1.04
PLPC,11.90K,224.40M,444.86M,9.78,1.13
Plumas Bancorp,8.36K,90.58M,24.02M,5.9,0.68
Points International,96.95K,131.07M,401.18M,10.81,1.7
Polarityte,620.37K,42.19M,5.67M,,1.77
Pool Corp,285.43K,7.86B,3.20B,29.75,0.7
Pope Resources A Delaware,13.82K,455.89M,109.91M,205.43,0.8
Porter Bancorp,7.89K,107.12M,28.20M,9.05,1.02
PotlatchDeltic,472.26K,2.10B,827.10M,36.33,1.34
Preferred Bank,126.11K,495.48M,117.06M,6.84,1.48
Premier Financial,39.83K,178.10M,43.22M,7.19,0.78
PrimeEnergy Corp,1.51K,150.00M,84.13M,18.72,0.98
Principal Financial,1.99M,8.63B,16.27B,6.35,1.6
Pro-Dex,18.32K,66.19M,29.05M,17.72,1.27
Progenics Pharm,967.61K,353.31M,34.99M,,2.02
Protective Insurance A,1.41K,213.60M,496.09M,27.32,0.44
Protective Insurance B,26.93K,195.94M,496.09M,27.32,0.44
Prudential Bancor,24.41K,112.26M,25.27M,10.92,0.09
Psychemedics Corp,24.79K,30.23M,37.67M,19.59,0.9
Pure Acquisition A,378.84K,986.40M,,147.21,
Pure Cycle Corp,98.40K,242.57M,28.63M,23.66,0.56
QuickLogic Corp,60.56K,26.06M,10.31M,,1.29
Qurate Retail A,5.19M,3.09B,13.46B,,1.18
Qurate Retail B,1.70K,3.12B,13.46B,,1.18
Radware,327.90K,1.00B,252.07M,45.87,0.77
Rambus Inc,986.50K,1.41B,224.03M,,0.92
Remark Media Inc,3.73M,22.69M,4.77M,,1.67
Republic First,406.35K,129.47M,64.86M,,1.07
Ribbon Com,428.40K,336.15M,563.11M,,0.75
Riot Blockchain,1.43M,31.34M,6.84M,,2.84
Royal Gold Inc,794.86K,6.90B,467.88M,41.24,0.53
Ryanair ADR,928.62K,11.90B,188.63M,11.33,1.2
Seelos Therapeutics,787.53K,22.66M,380.00K,,1.13
Select Bancorp,79.86K,139.11M,32.73M,10.89,0.75
Sellas Life Sciences,564.54K,11.62M,,,1.21
SemiLEDS Corp,133.72K,7.02M,6.49M,,1.88
Sierra Bancorp,46.55K,263.26M,67.39M,7.55,1.11
Sify Technologies,63.61K,141.91M,502.45M,12.08,1.28
Simply Good Foods,1.52M,1.63B,657.90M,59.46,
SINA Corp,815.16K,2.30B,2.16B,,1.14
SLM - 셀리 메이,5.43M,2.89B,2.33B,5.33,1.41
Sohu.Com,500.76K,257.34M,1.39B,,1.74
Sonoma Pharma,27.45K,9.39M,18.74M,,0.54
Sotherly Hotels,167.65K,29.05M,185.78M,,1.8
Spartan Motors,362.90K,476.14M,1.53B,12.58,1.41
SSR Mining,1.76M,1.90B,606.85M,33.71,0.65
StealthGas,52.35K,83.30M,144.25M,39.39,1.46
Steel Connect,29.91K,43.66M,839.07M,,0.6
Steel Dynamics,2.77M,4.94B,10.46B,7.81,1.54
STRATA Skin Sciences,58.77K,28.89M,31.58M,,1.71
Sunpower Corp,4.79M,1.13B,1.86B,262.06,2.1
Taoping,58.96K,18.48M,7.08M,,1.38
TD Ameritrade Hol,5.16M,20.22B,5.79B,10.04,1.24
Tellurian,3.88M,475.16M,28.77M,,3.25
Tenax Therapeutics,131.24K,4.41M,,,1.81
The Andersons,208.81K,584.47M,8.17B,30.57,0.97
The Dixie Group,48.11K,10.44M,374.58M,0.73,1.23
The First Bancshares,99.20K,386.84M,92.35M,8.37,0.98
The Intergroup Co,2.40K,73.58M,75.40M,34.24,0.51
The9 ADR,91.08K,19.74M,5.50K,,1.89
Tivity Health,2.07M,328.46M,1.13B,,1.87
Town Sports,225.34K,10.35M,466.76M,,2.11
U.S. Global Inves,45.86K,19.21M,3.61M,,1.5
Univ. Display,709.93K,6.74B,405.19M,47,1.64
US Ecology,307.48K,1.04B,685.51M,19.03,0.95
US Gold,51.52K,12.70M,,,1.2
UTStarcom,17.08K,62.60M,65.82M,,1.15
Vaxart,11.60M,123.78M,9.87M,,-0.54
VBI Vaccines,3.50M,201.43M,2.22M,,1.13
Vericel Corp Ord,700.89K,513.73M,117.85M,,2.71
Viavi Solutions,2.71M,2.78B,1.17B,65.54,1
Yandex,3.51M,11.97B,3.86B,70.5,1.75
YRC Worldwide,1.72M,65.77M,4.87B,,3.36
굿이어,6.35M,1.77B,14.75B,,2.12
길리어드 사이언시스,21.10M,97.89B,22.45B,17.89,0.66
넥타테라퓨틱스,1.81M,3.41B,114.62M,,2.14
넷앱,2.83M,9.85B,5.60B,9.76,1.38
넷이즈,876.91K,43.74B,1.71B,23.43,0.74
넷플릭스,8.16M,181.47B,20.16B,103.02,0.99
노던 트러스트,1.82M,17.45B,6.60B,12.6,1.23
노바백스,8.99M,927.52M,18.67M,,0.7
노블 에너지,11.03M,3.52B,4.44B,,2.27
노턴라이프록,9.71M,11.71B,3.07B,30.5,0.81
뉴스 코퍼레이션,3.61M,5.54B,9.74B,,1.47
뉴웰브랜즈,4.45M,5.85B,11.43B,30.85,1.1
달러트리,3.37M,18.92B,23.61B,21.95,0.53
덴츠플라이,2.55M,8.93B,4.03B,34.27,1.06
디시 네트워크,4.08M,11.67B,12.81B,8.46,1.6
라마 어드벤티징 컴퍼니,947.20K,4.92B,1.75B,12.77,1.31
라이프 테크놀로지스,190.12K,26.47M,410.00K,,2.19
램리서치,2.33M,39.66B,9.55B,19.18,1.48
레이크랜드 인더스트리,1.24M,132.11M,104.65M,855.46,0.06
로스 스토어스,3.33M,32.33B,16.04B,18.91,0.84
리버티 글로벌,1.98M,11.73B,11.54B,,1.2
마벨 테크놀로지,11.54M,16.93B,2.70B,10.95,0.96
마이크로소프트,53.64M,1.32T,134.25B,30.62,0.93
마이크로칩 테크놀로지,4.23M,19.63B,5.28B,31.49,1.53
마이크론 테크놀로지,31.00M,52.96B,19.60B,23.14,1.71
마켓액세스홀딩스,341.11K,15.08B,511.35M,71.46,0.33
마텔,6.20M,3.24B,5.19B,,1.72
맥심 인티그레이티드 프로덕츠,2.53M,14.33B,2.18B,18.34,1.35
메르카도리브레,722.66K,27.94B,2.30B,,1.57
메리어트인터내셔널,5.89M,26.81B,20.97B,20.57,1.58
몬스터 베버리지,4.16M,34.58B,4.20B,29.38,1.02
밀란 NV,7.68M,8.44B,11.50B,505.99,1.61
바이두,4.71M,34.02B,2.36B,123.79,1.56
바이오마린,1.59M,15.43B,1.70B,,0.99
바이오셉트,15.78M,49.14M,5.52M,,0.94
바이오크리스트,6.55M,425.57M,48.84M,,1.99
버텍스 파마슈티컬,2.02M,68.03B,4.16B,55.97,1
베드 배스 앤드 비욘드,11.16M,681.78M,11.36B,,2.21
베리사인,771.53K,23.65B,1.23B,27.58,0.9
부킹홀딩스,692.11K,59.52B,15.07B,12.67,1.06
브로드컴,3.71M,107.00B,22.67B,42.98,0.93
비아콤 CBS,14.33M,9.99B,27.81B,2.33,1.82
사렙타 테라퓨틱스,920.88K,8.79B,380.83M,,1.94
사이프레스 세미컨덕터,10.50M,8.90B,2.21B,230.37,1.39
서너,2.74M,20.98B,5.69B,39.92,0.85
스타벅스,13.73M,86.47B,26.97B,23.43,0.74
스테리사이클,776.84K,4.60B,3.31B,,1.24
시리우스 XM,28.10M,23.92B,7.79B,25.82,1.14
시스코 시스템즈,32.18M,181.42B,51.55B,14.96,0.99
시애틀 제네틱스,1.17M,21.35B,916.71M,,1.36
시트릭스 시스템즈,2.52M,18.70B,3.01B,27.57,0.35
신시내티 파이낸셜,967.46K,14.13B,7.92B,6.83,0.85
신타스,885.83K,20.99B,9.07B,22.12,1.31
